"","N1_1","N2_1","N3_1","N4_1","N5_1","N6_1","N1_2","N2_2","N3_2","N4_2","N5_2","N6_2"
"O75367",0,0,0,0,0,0,0,0,0,0,0,0
"O75376",0,0,0,0,0,0,0,0,0,0,0,0
"O75379",0,0,0,0,0,0,0,0,0,0,0,0
"O75380",0,0,0,0,0,0,0,0,0,0,0,0
"O75381",0,0,0,0,0,0,0,0,0,0,0,0
"O75382",0,0,0,0,0,0,0,0,0,0,0,0
"O75385",0,0,0,0,0,0,0,0,0,0,0,0
"O75390",0,0,0,0,0,0,0,0,0,0,0,0
"O75394",0,0,0,0,0,0,0,0,0,0,0,0
"O75398",0,0,0,0,0,0,0,0,0,0,0,0
"O75400",0,0,0,0,0,0,0,0,0,0,0,0
"O75410",0,0,0,0,0,0,0,0,0,0,0,0
"O75431",0,0,0,0,0,0,0,0,0,0,0,0
"O75436",0,0,0,0,0,0,0,0,0,0,0,0
"O75438",0,0,0,0,0,0,0,0,0,0,0,0
"O75445",0,0,0,0,0,0,0,0,0,0,0,0
"O75446",0,0,0,0,0,0,0,0,0,0,0,0
"O75448",0,1,1,1,1,1,1,0,1,0,1,1
"O75449",0,0,0,0,0,0,0,0,0,0,0,0
"O75461",0,0,0,0,0,0,0,0,0,0,0,0
"O75473",0,0,0,0,0,0,0,0,0,0,0,0
"O75475",0,0,0,0,0,0,0,0,0,0,0,0
"O75477",0,0,0,0,0,0,0,0,0,0,0,0
"O75478",0,0,0,0,0,0,0,0,0,0,0,0
"O75486",0,0,0,0,0,0,0,0,0,0,0,0
"O75489",0,0,0,0,0,0,0,0,0,0,0,0
"O75496",0,0,0,0,0,0,0,0,0,0,0,0
"O75509",0,0,0,0,0,0,0,0,0,0,0,0
"O75528",0,0,0,0,0,0,0,0,0,0,0,0
"O75529",0,0,0,0,0,0,0,0,0,0,0,0
"O75530",0,0,0,0,0,0,0,0,0,0,0,0
"O75531",0,0,0,0,0,0,0,0,0,0,0,0
"O75533",0,0,0,0,0,0,0,0,0,0,0,0
"O75534",0,0,0,0,0,0,0,0,0,0,0,0
